property_id,canonical_address,city,state,zip,parcel_id,latitude,longitude,current_owner_name,current_taxpayer_name,official_property_name,official_listed_address,is_official_mpha_listing,property_type,estimated_unit_count,unit_count_source,unit_count_confidence,unit_count_notes,ward,neighborhood,community,police_precinct,police_sector,current_status,confidence_level,confidence_score,public_notes,first_seen_date,last_seen_date,is_current,detail_url_slug
parcel-0802924120099,3415 UPTON AVE N,Minneapolis,MN,55412,0802924120099,45.01735611105497,-93.31496617508247,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 4,Cleveland,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3415-upton-ave-n-0802924120099
parcel-0202824410168,3417 17TH AVE S,Minneapolis,MN,55407,0202824410168,44.940683433349164,-93.24951182712728,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Powderhorn Park,Powderhorn,Precinct 3,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3417-17th-ave-s-0202824410168
parcel-0302824420006,3420 3RD AVE S,Minneapolis,MN,55408,0302824420006,44.94061542688234,-93.27313698264896,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Central,Powderhorn,Precinct 3,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3420-3rd-ave-s-0302824420006
parcel-0902924220070,3423 NEWTON AVE N,Minneapolis,MN,55412,0902924220070,45.01751812316896,-93.3060846757572,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 4,Folwell,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3423-newton-ave-n-0902924220070
parcel-0302824420008,3425 2ND AVE S,Minneapolis,MN,55408,0302824420008,44.94049462513835,-93.27368122838637,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Central,Powderhorn,Precinct 3,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3425-2nd-ave-s-0302824420008
parcel-0102924230079,3434 TYLER ST,Minneapolis,MN,55418,0102924230079,45.03042869103004,-93.24640486827252,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 1,Waite Park,Northeast,Precinct 2,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3434-tyler-st-0102924230079
parcel-0302824420065,3436 1ST AVE S,Minneapolis,MN,55408,0302824420065,44.940130960688016,-93.27698513114629,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 8,Lyndale,Powderhorn,Precinct 5,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3436-1st-ave-s-0302824420065
parcel-0202824320074,3436 PARK AVE,Minneapolis,MN,55407,0202824320074,44.939984826255106,-93.26552026946119,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Central,Powderhorn,Precinct 3,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3436-park-ave-0202824320074
parcel-1002924220156,3439 4TH ST N,Minneapolis,MN,55412,1002924220156,45.017818579294314,-93.2853899816282,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 4,McKinley,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3439-4th-st-n-1002924220156
parcel-0802924120196,3439 VINCENT AVE N,Minneapolis,MN,55412,0802924120196,45.018044340571265,-93.3162456112717,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 4,Cleveland,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3439-vincent-ave-n-0802924120196
