property_id,parcel_id,source_ids,sale_date,sale_value,assessed_land_value,assessed_building_value,assessed_total_value,tax_year,market_year,total_tax,use_classes,zoning,land_use,parcel_area_sqft,acres,year_built,finished_sqft,above_ground_area,below_ground_area,total_units,building_use
parcel-1602924330066,1602924330066,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,183000.0,198000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5051.0,0.12,1946,,1655.0,,,Single Family House
parcel-1602924330089,1602924330089,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,160000.0,175000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5016.0,0.12,1900,,1148.0,848.0,,Single Family House
parcel-1602924330109,1602924330109,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,143000.0,158000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5012.0,0.12,1914,,1380.0,756.0,,Single Family House
parcel-1602924330110,1602924330110,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,187000.0,202000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5012.0,0.12,1928,,1388.0,710.0,,Single Family House
parcel-1602924340045,1602924340045,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,27000.0,196600.0,223600.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5690.0,0.13,1980,,1685.0,853.0,,Single Family House
parcel-1602924340050,1602924340050,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,34000.0,236000.0,270000.0,2026,2025,,Double Bungalow | Municipal Property,Urban Neighborhood 2,,10179.0,0.23,1968,,2634.0,1271.0,,Duplex
parcel-1602924340063,1602924340063,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,25000.0,141000.0,166000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4850.0,0.11,1910,,1308.0,684.0,,Single Family House
parcel-1602924340087,1602924340087,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,13000.0,200300.0,213300.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,3414.0,0.08,1913,,1424.0,752.0,,Single Family House
parcel-1602924340139,1602924340139,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,30000.0,236500.0,266500.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 2,,7395.0,0.17,1968,,2634.0,1230.0,,Duplex
parcel-1602924340163,1602924340163,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,343100.0,6006900.0,6350000.0,2026,2025,,Apartment | Special Taxing Districts,Urban Neighborhood 3,,49019.0,1.12,1970,,64513.0,2617.0,84,Apartment 6+ Unit
parcel-1602924340175,1602924340175,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,2000.0,,2000.0,2026,2025,,Vacant Land - Residential | Special Taxing Districts,Urban Neighborhood 2,,1655.0,0.04,,,,,,
parcel-1602924420071,1602924420071,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,26000.0,207300.0,233300.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 3,,6814.0,0.16,1916,,1976.0,,,Single Family House
parcel-1602924430006,1602924430006,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,27000.0,169300.0,196300.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6914.0,0.16,1980,,1536.0,,,Single Family House
parcel-1602924430008,1602924430008,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,30000.0,133000.0,163000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 3,,8643.0,0.2,1969,,1064.0,1064.0,,Single Family House
parcel-1602924430019,1602924430019,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,27000.0,186000.0,213000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5869.0,0.13,1900,,1838.0,954.0,,Single Family House
parcel-1602924430022,1602924430022,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,29000.0,129800.0,158800.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6745.0,0.15,1970,,1064.0,1064.0,,Single Family House
parcel-1602924430059,1602924430059,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,30000.0,147000.0,177000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,7280.0,0.17,1900,,1616.0,832.0,,Single Family House
parcel-1602924430072,1602924430072,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,30000.0,146000.0,176000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,7277.0,0.17,1900,,1433.0,892.0,,Single Family House
parcel-1602924430081,1602924430081,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,28000.0,176200.0,204200.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 3,,7277.0,0.17,1969,,1555.0,864.0,,Single Family House
parcel-1602924430087,1602924430087,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,28000.0,228500.0,256500.0,2026,2025,,Double Bungalow | Municipal Property,Urban Neighborhood 3,,7277.0,0.17,1900,,2128.0,1064.0,,Duplex
parcel-1602924430100,1602924430100,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,7000.0,,7000.0,2026,2025,,Vacant Land - Residential | Municipal Property,Urban Neighborhood 3,,2911.0,0.07,,,,,,
parcel-1602924430101,1602924430101,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,22000.0,191000.0,213000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 3,,4369.0,0.1,1900,,2240.0,1124.0,,Single Family House
parcel-1602924430123,1602924430123,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,27000.0,204800.0,231800.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 3,,6353.0,0.15,1980,,1536.0,768.0,,Single Family House
parcel-1602924430179,1602924430179,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,31000.0,138500.0,169500.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,7707.0,0.18,1968,,1219.0,533.0,,Single Family House
parcel-1602924440051,1602924440051,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,64900.0,938100.0,1003000.0,2026,2025,,Apartment | Special Taxing Districts,Production Mixed Use,,35493.0,0.81,1968,,1219.0,,,Duplex
parcel-1602924440052,1602924440052,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,61800.0,,61800.0,2026,2025,,Vacant Land - Commercial | Special Taxing Districts,Production Mixed Use,,10303.0,0.24,,,,,,
parcel-1602924440053,1602924440053,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,45100.0,,45100.0,2026,2025,,Vacant Land - Commercial | Special Taxing Districts,Production Mixed Use,,7517.0,0.17,,,,,,
